patient_id,review
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Average visit. Nothing special.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,Poor experience. Staff was rude and unhelpful.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,Excellent care and attention to detail.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,Poor experience. Staff was rude and unhelpful.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Terrible wait times and no empathy.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Terrible wait times and no empathy.
,Excellent care and attention to detail.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The doctor was incredibly helpful and thorough. Highly recommend!
,Terrible wait times and no empathy.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Poor experience. Staff was rude and unhelpful.
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,The healthcare provided was adequate but nothing exceptional.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Terrible wait times and no empathy.
,Terrible wait times and no empathy.
,Average visit. Nothing special.
,Poor experience. Staff was rude and unhelpful.
,Excellent care and attention to detail.
,Excellent care and attention to detail.
,Terrible wait times and no empathy.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,The healthcare provided was adequate but nothing exceptional.
,The healthcare provided was adequate but nothing exceptional.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The doctor was incredibly helpful and thorough. Highly recommend!
,Average visit. Nothing special.
,The healthcare provided was adequate but nothing exceptional.
,Not impressed with the overall service.
,doctor was very attentive and kind.
,The waiting area was uncomfortable and crowded.
,Staff seemed disorganized and unprepared.
,The medical team provided excellent care throughout my visit.
,The waiting area was uncomfortable and crowded.
,Staff seemed disorganized and unprepared.
,The waiting area was uncomfortable and crowded.
,Not impressed with the overall service.
,hospital staff were rude and unhelpful.
,Average service quality. Could be better .
,======.
,------.
,085$%^%
, سدجدچگکدچگچدجکچدگئکدجکچبد\
,to the is
